,Country Name,Country Code,Year,acce_fuel_tech,acce_electr,fore_area,gdp_grow,life_exp,mortal_rate,pop_65,parliment_women_seat,rate_labor,unemp_rate,log_pop_denst
103,Dominica,DMA,2020,88.9,100.0,63.8266666666667,-16.6049115377829,0.0,0.0354,0.0,34.375,0.0,0.0,1.982216942836122
104,Dominican Republic,DOM,2019,90.9,99.0,44.214655350859,5.05216802016253,74.081,0.0344,7.29838965754406,26.8421052631579,67.2437864676114,6.3600001335144,2.3469250659309475
105,Dominican Republic,DOM,2020,91.5,100.0,44.3821155040364,-6.72023937283404,74.257,0.0338,7.52769888393248,27.8947368421053,64.3416243779021,6.13000011444092,2.3513087957054637
106,Early-demographic dividend,EAR,2019,64.2466162069842,92.2512760560982,22.843583302684,2.2973948397337,70.7012013247764,0.0340454329968691,5.96941076680328,22.948551664505,47.0850373556792,5.53010474244021,1.9945592688169755
107,Early-demographic dividend,EAR,2020,66.4652864030743,93.3822156743267,22.7786340461396,-4.50556099273764,70.9112394136255,0.0327196737626428,6.12566241459645,24.4509129399312,45.8276724183422,7.12209343079958,2.0000434461725285
108,East Asia & Pacific,EAS,2019,75.7783834934922,98.0572492282545,27.1111571179724,4.06404875788033,76.2656075053756,0.0143,11.1804303049709,20.5038149448952,79.9669682161072,3.82122431779716,1.9819990590061374
109,East Asia & Pacific,EAS,2020,77.3790493533234,98.0128232445409,27.1431955670215,-0.133318686536555,76.4434497075294,0.013800000000000002,11.5882015165693,21.3300492610837,79.3268452364746,4.31572441821732,1.9838715770440758
110,East Asia & Pacific (IDA & IBRD),TEA,2019,74.0805717619718,98.4422738157447,30.2337978263516,5.77583399723255,75.448435105141,0.0149943514268934,9.94697253846236,21.1529448523668,80.2518248410416,3.9148038782835,2.1162729407007177
111,East Asia & Pacific (IDA & IBRD),TEA,2020,75.867775221631,98.3643398075358,30.2833802673143,1.3783061144856,75.6196224468338,0.0144111626881669,10.3551016570921,21.9014196841601,79.5450587186179,4.41005887749889,2.1183585651845895
112,East Asia & Pacific (excluding high income),EAP,2019,73.3081453086209,97.8508775991308,30.3832772149746,5.77574914947532,75.4097032387878,0.0150230155746663,9.93856734241141,20.8563731745357,80.4006284757974,3.8953258548777,2.1183405906980357
113,East Asia & Pacific (excluding high income),EAP,2020,75.0824359897461,97.8026965241403,30.4311556311395,1.37857512990216,75.5810020257993,0.0144374606072178,10.3428273864187,21.5431296055483,79.699729786982,4.38802132791412,2.1204238934397748
114,Ecuador,ECU,2019,94.45,99.0899963378906,50.5802061523595,0.0121051028476558,77.01,0.0134,7.37219936706493,37.956204379562,69.5980981425602,3.80999994277954,1.8448095920144338
115,Ecuador,ECU,2020,94.3,98.8499984741211,50.3214285714286,-7.75012337710913,77.216,0.013,7.59109505644544,39.4160583941606,67.002888174152,6.1100001335144,1.8514922598861783
116,"Egypt, Arab Rep.",EGY,2019,99.9,100.0,0.0451855944547692,5.55768388791593,71.99,0.0201,5.27633297632877,14.9328859060403,23.2177785318814,7.84000015258789,2.003662679854126
117,"Egypt, Arab Rep.",EGY,2020,99.9,100.0,0.0451855944547692,3.5696694750486,72.15,0.0195,5.33168102488778,27.4111675126904,23.0286838488384,9.16699981689453,2.012002209380019
118,El Salvador,SLV,2019,90.75,97.3600006103516,28.3967181467181,2.38258139815673,73.317,0.013300000000000001,8.46958256947762,30.952380952381,60.0044990421996,4.17000007629395,2.4934089281027845
119,El Salvador,SLV,2020,91.8,100.0,28.1795366795367,-8.5813121584968,73.533,0.0129,8.65094458161591,33.3333333333333,59.6026136743954,6.2480001449585,2.495600651764883
120,Equatorial Guinea,GNQ,2019,24.0,66.6000442504883,87.5857397504456,-5.97893690507988,58.735,0.08120000000000001,2.42450880761306,21.0,86.9117636594286,8.67899990081787,1.6843210589296025
121,Equatorial Guinea,GNQ,2020,24.5,66.7477264404297,87.2877005347594,-4.89335647440198,59.057,0.0785,2.38142246709694,21.0,84.9782506028344,9.90100002288818,1.6991201622059213
122,Eritrea,ERI,2019,9.2,50.9369926452637,10.4794059405941,0.0,66.321,0.040600000000000004,0.0,22.0,83.9782801144181,5.99399995803833,1.5393887885821866
123,Eritrea,ERI,2020,9.3,52.1710968017578,10.4481188118812,0.0,66.679,0.039299999999999995,0.0,0.0,82.2858322283471,7.86499977111816,1.5454696509338486
124,Estonia,EST,2019,100.0,100.0,56.0938578329883,4.09634264397782,78.6463414634147,0.0023,19.9918077800442,29.7029702970297,81.6089458144985,4.44999980926514,1.4846338251448805
125,Estonia,EST,2020,100.0,100.0,56.0938578329883,-2.95106931268964,78.3463414634146,0.0021000000000000003,20.3732279962459,28.7128712871287,81.5329445868163,6.80000019073486,1.4854918415623832
126,Eswatini,SWZ,2019,53.8,76.8694381713867,28.8575581395349,2.61303529001997,60.194,0.048,4.01478926602388,7.2463768115942,86.3210741953572,22.8369998931885,1.8244637528446763
127,Eswatini,SWZ,2020,55.4,79.7304992675781,28.9279069767442,-1.85052471016712,60.721,0.0466,4.01236376926021,9.58904109589041,84.268626362356,25.5090007781982,1.8289909382337537
128,Ethiopia,ETH,2019,7.0,48.063591003418,15.1788666255574,8.3640856990789,66.597,0.0508,3.51669045500426,38.7568555758684,86.3618502108756,2.32599997520447,1.9967137114282685
129,Ethiopia,ETH,2020,7.8,51.0939826965332,15.1142248343685,6.05661779202561,66.953,0.0487,3.53689378588288,38.7568555758684,84.4457387066601,3.23699998855591,2.0077508126061194
130,Euro area,EMU,2019,100.0,100.0,38.5825437021656,1.5649254585049,82.3261827822172,0.00372408496339854,20.8522909961778,33.3711949114039,81.7092940019706,7.53479477259293,2.1058537419857286
131,Euro area,EMU,2020,100.0,100.0,38.6395214123754,-6.39422170923456,81.5358828056894,0.0037152793938189997,21.1344159670304,33.8555858310627,82.1286153932623,7.82616361418879,2.1063926554072014
132,Europe & Central Asia,ECS,2019,95.4397419604753,99.9932515305436,38.4980456862646,1.80383139660181,78.1591274605138,0.0079,16.6183458643436,29.4559443121451,77.2099553944502,6.67035727529091,1.5256599886599316
133,Europe & Central Asia,ECS,2020,95.2146381211864,99.9953221907789,38.5149542212115,-5.5805828270023,77.3904497296709,0.0076,16.8985881389263,30.2941445981856,77.3075304277826,7.18288486366471,1.5267599219539154
134,Europe & Central Asia (IDA & IBRD),TEC,2019,90.8031962597583,99.9865143284425,39.2857493175636,2.66222000159384,74.3207353550341,0.0107826456216959,12.879986779245,23.1913455037187,71.4472622891758,6.7759275192817,1.3019761580781388
135,Europe & Central Asia (IDA & IBRD),TEC,2020,90.3536486631699,99.9906375979174,39.2983669352421,-1.77685331143942,73.4831176991123,0.010312943985077,13.182892581246,24.3566591422122,71.0455509530961,7.39850005079583,1.3032411754337374
136,Europe & Central Asia (excluding high income),ECA,2019,89.8603795440864,99.985160771175,39.4114287363172,2.31442880725514,73.9559514772113,0.011211607301401,12.3253575664799,22.6346053319394,71.1327772949185,7.1070527958652,1.267345009242598
137,Europe & Central Asia (excluding high income),ECA,2020,89.3702447051916,99.9896989594397,39.4236078052872,-1.54396002239542,73.1611310175678,0.0107111284409631,12.6015040098154,23.5663786331501,70.7411040847537,7.80438229386157,1.2688235995959494
138,European Union,EUU,2019,99.4587475334323,100.0,39.7661906430144,1.81685028941465,81.31327017295,0.00394337629619665,20.4601049626539,31.8174834844062,80.4962355697666,6.69189042036088,2.048480668472609
139,European Union,EUU,2020,99.4623313418734,99.9953512380042,39.8116024289901,-5.95577847180422,80.4637018880586,0.0039092948319661295,20.7797393252092,32.4066963600061,80.6861501095059,7.04658695203601,2.048754136776198
140,Fiji,FJI,2019,49.4,99.7158813476563,62.0328407224959,-0.445563043622684,67.444,0.0269,5.62422959414711,19.6078431372549,50.3535157207613,4.44799995422363,1.6876295000274613
141,Fiji,FJI,2020,51.4,100.0,62.3984674329502,-15.7118039805906,67.561,0.027399999999999997,5.81742326634651,19.6078431372549,50.3542081658816,4.71500015258789,1.6907846174317658
142,Finland,FIN,2019,100.0,100.0,73.7332192682285,1.22075414302529,81.9829268292683,0.0023,22.1406446239043,47.0,88.2625637628626,6.69000005722046,1.2593061333229219
143,Finland,FIN,2020,100.0,100.0,73.7332192682285,-2.80013589086919,82.1317073170732,0.0023,22.5544875034292,46.0,87.7415846638137,7.76000022888184,1.2599299591161577
144,Fragile and conflict affected situations,FCS,2019,24.8634625347032,54.3356110945704,23.3263688675224,3.05448325063698,62.4812647464825,0.0782934708972083,3.47660297046844,19.0224570673712,73.2797619127959,6.43589168205396,1.6585457926249636
145,Fragile and conflict affected situations,FCS,2020,25.6243167388262,55.0867197882972,23.2011872380563,-4.73779618125812,62.7534561513537,0.07607034103606619,3.51232554843517,20.6166303332295,72.4236762882298,7.33038911517949,1.668591364309829
146,France,FRA,2019,100.0,100.0,31.3567354631573,1.84297181445896,82.8268292682927,0.0043,20.3913702817859,39.6880415944541,85.9053644832313,8.40999984741211,2.0892560174444355
147,France,FRA,2020,100.0,100.0,31.5090483730461,-7.85525603703762,82.1756097560976,0.0044,20.7534554101127,39.5147313691508,86.0903773365678,8.01000022888184,2.090101078284479
148,Gabon,GAB,2019,87.8,90.7262954711914,91.3667869755889,3.92080879452831,66.467,0.043,3.54472725732873,17.910447761194,69.0977638231608,20.742000579834,0.925911520001088
149,Gabon,GAB,2020,88.1,91.5715637207031,91.3206814918306,-1.83776092953785,66.69,0.0417,3.52881341615845,14.7887323943662,68.4336100050275,21.9720001220703,0.9364082318653327
150,"Gambia, The",GMB,2019,1.8,62.0999984741211,24.5454545454545,6.15363194960554,62.05,0.0512,2.56092543103779,10.3448275862069,74.7793606979974,9.4980001449585,2.365461347503639
151,"Gambia, The",GMB,2020,1.7,62.2730674743652,23.9792490118577,-0.215576043106495,62.383,0.0494,2.53141929301005,8.62068965517241,73.108654962381,11.081000328064,2.378035760125789
152,Georgia,GEO,2019,87.7,100.0,40.6159159591308,4.98235047511106,73.767,0.0095,15.0610556287397,14.7651006711409,75.096091358079,11.5699996948242,1.8134847114486108
153,Georgia,GEO,2020,89.1,100.0,40.6159159591308,-6.76043981705519,73.919,0.009300000000000001,15.2533097762014,20.6666666666667,73.345385357783,18.5,1.8137828817515327
154,Germany,DEU,2019,100.0,100.0,32.6836109680005,1.05550824713283,81.2926829268293,0.0037,21.5629923209089,30.8885754583921,83.8961655439241,3.14000010490417,2.3762661999710715
